Société,Site commercial,Numéro de client,Groupe de clients,Agence commerciale,Article,Groupe de marchandises,Jour calendaire,Mois/Année,Poids net
COSUMAR SA,Raffinerie,101845,Grossistes,A02,3000,Morceau,1/13/18,1/2018,8.0000000000E-01
COSUMAR SA,Raffinerie,104474,Grossistes,A01,2000,Lingot,7/5/17,7/2017,2.2260000000E+01
COSUMAR SA,Raffinerie,100117,Industriels,A06,4500,GR-GCDT,7/2/18,7/2018,2.6000000000E+01
COSUMAR SA,Sidi Bennour,101675,Grossistes,A02,4501,GR-GCDT,8/16/17,8/2017,8.5000000000E+00
COSUMAR SA,Raffinerie,104474,Grossistes,A01,4500,GR-GCDT,11/16/17,11/2017,1.8850000000E+02
COSUMAR SA,Sidi Bennour,109083,Grossistes,A01,4501,GR-GCDT,8/24/17,8/2017,4.5000000000E+00
COSUMAR SA,Sidi Bennour,110019,Grossistes,A07,1007,Pain,6/21/17,6/2017,2.9000000000E+00
COSUMAR SA,Raffinerie,104474,Grossistes,A01,4212,GR-PCDT,12/4/18,12/2018,1.1460000000E+01
COSUMAR SA,Raffinerie,106047,Industriels,A07,4500,GR-GCDT,7/24/17,7/2017,2.5500000000E+01
COSUMAR SA,Raffinerie,102001,Grossistes,A06,2000,Lingot,9/7/17,9/2017,2.4600000000E+00
COSUMAR SA,Raffinerie,106035,Grossistes,A07,4500,GR-GCDT,5/3/17,5/2017,3.5000000000E+00
COSUMAR SA,Raffinerie,103904,Grossistes,A01,1000,Pain,9/20/17,9/2017,4.2600000000E+00
COSUMAR SA,Raffinerie,100383,Grossistes,A05,4207,GR-PCDT,4/26/18,4/2018,8.5000000000E+00
COSUMAR SA,Raffinerie,101564,Grossistes,A01,1000,Pain,4/4/17,4/2017,1.0020000000E+01
COSUMAR SA,Raffinerie,106237,Grossistes,A01,2000,Lingot,4/25/18,4/2018,1.0030000000E+01
COSUMAR SA,Raffinerie,100060,Industriels,A01,4000,GR-GCDT,3/28/18,3/2018,2.4840000000E+01
COSUMAR SA,Raffinerie,103035,Grossistes,A01,2000,Lingot,7/1/17,7/2017,2.4600000000E+00
COSUMAR SA,Raffinerie,101005,Grossistes,A06,3000,Morceau,7/17/18,7/2018,-5.0000000000E-01
COSUMAR SA,Raffinerie,102163,Grossistes,A15,4208,GR-PCDT,3/23/18,3/2018,8.5000000000E+00
COSUMAR SA,Raffinerie,105940,Grossistes,A02,1000,Pain,11/14/17,11/2017,5.5972000000E+01
COSUMAR SA,Raffinerie,110093,Industriels,A01,4500,GR-GCDT,4/12/17,4/2017,2.2500000000E+01
COSUMAR SA,Raffinerie,106237,Grossistes,A01,2000,Lingot,5/9/17,5/2017,1.8300000000E+01
COSUMAR SA,Raffinerie,103674,Industriels,A01,4500,GR-GCDT,9/15/17,9/2017,2.4500000000E+01
COSUMAR SA,Sidi Bennour,109083,Grossistes,A01,4205,GR-PCDT,8/6/18,8/2018,2.5800000000E+00
COSUMAR SA,Raffinerie,104276,Grossistes,A01,3000,Morceau,11/27/17,11/2017,-2.4000000000E-01
COSUMAR SA,Sidi Bennour,104445,Grossistes,A01,1007,Pain,1/8/18,1/2018,5.8600000000E+00
COSUMAR SA,Raffinerie,106237,Grossistes,A01,4200,GR-PCDT,6/5/17,6/2017,4.5000000000E+00
COSUMAR SA,Raffinerie,104485,GMS,A15,2000,Lingot,10/4/18,10/2018,-1.8000000000E-01
COSUMAR SA,Raffinerie,101799,Grossistes,A01,1000,Pain,2/28/18,2/2018,8.8680000000E+00
COSUMAR SA,Raffinerie,105683,Grossistes,A09,1000,Pain,5/7/18,5/2018,1.0500000000E+01
COSUMAR SA,Raffinerie,102157,Grossistes,A02,1000,Pain,9/7/18,9/2018,2.3620000000E+01
COSUMAR SA,Sidi Bennour,110019,Grossistes,A07,4205,GR-PCDT,12/27/17,12/2017,1.0800000000E-01
COSUMAR SA,Sidi Bennour,103938,Grossistes,A01,4501,GR-GCDT,11/20/17,11/2017,5.0000000000E-01
COSUMAR SA,Zaio,104029,Grossistes,A06,4202,GR-PCDT,1/10/17,1/2017,2.6500000000E+01
COSUMAR SA,Raffinerie,102058,Grossistes,A15,4207,GR-PCDT,3/10/18,3/2018,1.0000000000E+01
COSUMAR SA,Sidi Bennour,109104,Grossistes,A01,4501,GR-GCDT,2/23/18,2/2018,9.5000000000E+00
COSUMAR SA,Raffinerie,103095,Grossistes,A02,3000,Morceau,3/10/18,3/2018,-1.0000000000E+00
COSUMAR SA,Sidi Bennour,109104,Grossistes,A01,4501,GR-GCDT,6/28/17,6/2017,2.5000000000E+00
COSUMAR SA,Raffinerie,104019,Grossistes,A07,3000,Morceau,7/31/18,7/2018,-7.0000000000E-01
COSUMAR SA,Zaio,102009,Grossistes,A06,4202,GR-PCDT,7/16/18,7/2018,1.1500000000E+01
COSUMAR SA,Raffinerie,103095,Grossistes,A02,2000,Lingot,1/31/17,1/2017,4.5000000000E+00
COSUMAR SA,Raffinerie,103608,Grossistes,A01,2000,Lingot,12/7/17,12/2017,2.4600000000E+00
COSUMAR SA,Raffinerie,104496,GMS,A02,3000,Morceau,1/26/18,1/2018,3.5400000000E+00
COSUMAR SA,Zaio,110096,Grossistes,A06,4506,GR-GCDT,7/15/17,7/2017,1.5000000000E+00
COSUMAR SA,Sidi Bennour,109104,Grossistes,A01,1007,Pain,5/29/18,5/2018,4.1000000000E+00
COSUMAR SA,Zaio,101978,Grossistes,A06,4506,GR-GCDT,3/9/18,3/2018,2.0500000000E+01
COSUMAR SA,Sidi Bennour,109104,Grossistes,A01,4205,GR-PCDT,5/2/17,5/2017,5.7000000000E+00
COSUMAR SA,Raffinerie,103071,Industriels,A01,4500,GR-GCDT,7/23/18,7/2018,2.3500000000E+01
COSUMAR SA,Sidi Bennour,101465,Grossistes,A02,4501,GR-GCDT,3/21/17,3/2017,3.5000000000E+00
COSUMAR SA,Raffinerie,106047,Industriels,A07,4500,GR-GCDT,5/10/17,5/2017,5.2500000000E+01
COSUMAR SA,Raffinerie,102163,Grossistes,A15,2000,Lingot,4/25/17,4/2017,5.1000000000E+00
COSUMAR SA,Raffinerie,103050,Grossistes,A01,3000,Morceau,10/13/18,10/2018,-2.4000000000E-01
COSUMAR SA,Raffinerie,104646,Grossistes,A02,2000,Lingot,4/18/18,4/2018,6.1000000000E+00
COSUMAR SA,Zaio,101978,Grossistes,A06,4202,GR-PCDT,12/7/17,12/2017,5.0500000000E+01
COSUMAR SA,Raffinerie,104963,Grossistes,A01,1000,Pain,12/13/18,12/2018,8.0400000000E-01
COSUMAR SA,Sidi Bennour,103056,Grossistes,A02,1007,Pain,1/24/18,1/2018,1.0500000000E+01
COSUMAR SA,Sidi Bennour,109083,Grossistes,A01,4205,GR-PCDT,3/8/17,3/2017,2.5080000000E+00
COSUMAR SA,Raffinerie,110032,GMS,A15,3000,Morceau,1/3/18,1/2018,1.0200000000E+00
COSUMAR SA,Raffinerie,100175,Grossistes,A01,1000,Pain,11/7/18,11/2018,-3.4800000000E-01
COSUMAR SA,Raffinerie,104316,GMS,A15,1000,Pain,8/21/17,8/2017,5.4120000000E+00
COSUMAR SA,Raffinerie,101308,Grossistes,A05,4515,GR-GCDT,1/28/17,1/2017,5.0000000000E-01
COSUMAR SA,Raffinerie,104239,Industriels,A01,4500,GR-GCDT,12/19/17,12/2017,2.4500000000E+01
