Société,Site commercial,Numéro de client,Groupe de clients,Agence commerciale,Article,Groupe de marchandises,Jour calendaire,Mois/Année,Poids net
SUNABEL,MBK B,104026,Grossistes,A15,4101,GR-PCDT,6/10/18,6/2018,-5.0000000000E-01
SUNABEL,MBK B,110122,Grossistes,A15,4201,GR-PCDT,11/11/17,11/2017,1.8500000000E+01
SUNABEL,MBK B,100620,Grossistes,A15,4201,GR-PCDT,11/9/18,11/2018,8.5000000000E+00
SUNABEL,MBK B,102001,Grossistes,A06,4101,GR-PCDT,11/27/18,11/2018,5.5000000000E+00
SUNABEL,MBK B,100620,Grossistes,A15,4201,GR-PCDT,9/26/17,9/2017,6.5000000000E+00
SUNABEL,MBK B,104026,Grossistes,A15,4101,GR-PCDT,10/8/18,10/2018,3.5000000000E+00
SUNABEL,MBK B,104007,Grossistes,A15,4101,GR-PCDT,8/7/18,8/2018,4.5000000000E+00
SUNABEL,MBK B,104959,Grossistes,A05,4508,GR-GCDT,2/26/18,2/2018,2.5000000000E+00
SUNABEL,MBK B,104026,Grossistes,A15,4201,GR-PCDT,12/4/18,12/2018,5.5000000000E+00
SUNABEL,MBK B,104026,Grossistes,A15,4101,GR-PCDT,9/25/18,9/2018,5.0000000000E-01
SUNABEL,MBK B,104007,Grossistes,A15,4201,GR-PCDT,2/23/17,2/2017,6.5000000000E+00
SUNABEL,MBK B,100421,Grossistes,A15,4101,GR-PCDT,7/5/18,7/2018,-5.0000000000E-01
SUNABEL,MBK B,103606,Grossistes,A15,4201,GR-PCDT,2/8/18,2/2018,5.5000000000E+00
SUNABEL,MBK B,106029,Grossistes,A15,4201,GR-PCDT,9/19/18,9/2018,1.8500000000E+01
SUNABEL,MBK B,102096,Grossistes,A15,4201,GR-PCDT,3/7/17,3/2017,6.5000000000E+00
SUNABEL,MBK B,100008,Grossistes,A04,4507,GR-GCDT,10/3/17,10/2017,2.6500000000E+01
SUNABEL,MBK B,101843,Grossistes,A06,4201,GR-PCDT,5/18/18,5/2018,1.1500000000E+01
SUNABEL,MBK B,102001,Grossistes,A06,4508,GR-GCDT,11/21/18,11/2018,1.0500000000E+01
SUNABEL,MBK B,102714,Grossistes,A15,4101,GR-PCDT,11/7/17,11/2017,1.5000000000E+00
SUNABEL,MBK B,102000,Grossistes,A15,4201,GR-PCDT,2/14/17,2/2017,1.0000000000E+01
SUNABEL,MBK B,104026,Grossistes,A15,4201,GR-PCDT,5/18/17,5/2017,7.5000000000E+00
SUNABEL,MBK B,110045,Grossistes,A15,4201,GR-PCDT,8/15/17,8/2017,3.7500000000E+01
SUNABEL,MBK B,104007,Grossistes,A15,4101,GR-PCDT,5/28/18,5/2018,6.5000000000E+00
SUNABEL,MBK B,100007,Grossistes,A04,4201,GR-PCDT,1/27/17,1/2017,8.5000000000E+00
SUNABEL,MBK B,102184,Grossistes,A15,4201,GR-PCDT,6/28/17,6/2017,2.7800000000E+01
SUNABEL,MBK B,103093,Grossistes,A15,4201,GR-PCDT,10/20/17,10/2017,2.6500000000E+01
SUNABEL,MBK B,103976,Grossistes,A15,4201,GR-PCDT,11/9/18,11/2018,6.0000000000E+00
SUNABEL,MBK B,104026,Grossistes,A15,4101,GR-PCDT,11/12/18,11/2018,5.0000000000E-01
SUNABEL,MBK B,110025,Grossistes,A15,4507,GR-GCDT,9/22/18,9/2018,1.6500000000E+01
SUNABEL,MBK B,103093,Grossistes,A15,4201,GR-PCDT,8/1/17,8/2017,6.0500000000E+01
SUNABEL,MBK B,101965,Grossistes,A04,4101,GR-PCDT,8/9/17,8/2017,5.0000000000E-01
SUNABEL,MBK B,110045,Grossistes,A15,4101,GR-PCDT,7/11/18,7/2018,5.5000000000E+00
SUNABEL,MBK B,101956,Grossistes,A15,4201,GR-PCDT,9/7/17,9/2017,2.0500000000E+01
SUNABEL,MBK B,106077,Grossistes,A06,4201,GR-PCDT,11/28/18,11/2018,2.6500000000E+01
SUNABEL,MBK B,101016,Grossistes,A04,4507,GR-GCDT,6/7/17,6/2017,1.1500000000E+01
SUNABEL,MBK B,104007,Grossistes,A15,4201,GR-PCDT,9/25/17,9/2017,9.5000000000E+00
SUNABEL,MBK B,101687,Grossistes,A04,4507,GR-GCDT,6/5/18,6/2018,1.1500000000E+01
SUNABEL,MBK B,104026,Grossistes,A15,4507,GR-GCDT,10/23/18,10/2018,2.5000000000E+00
SUNABEL,MBK B,104007,Grossistes,A15,4201,GR-PCDT,8/1/18,8/2018,8.2000000000E+00
SUNABEL,MBK B,103976,Grossistes,A15,4101,GR-PCDT,1/22/18,1/2018,3.0000000000E+00
SUNABEL,MBK B,102184,Grossistes,A15,4201,GR-PCDT,7/3/17,7/2017,1.5000000000E+01
SUNABEL,MBK B,104007,Grossistes,A15,4508,GR-GCDT,11/14/17,11/2017,2.5000000000E+00
SUNABEL,MBK B,101956,Grossistes,A15,4201,GR-PCDT,2/16/17,2/2017,9.5000000000E+00
SUNABEL,MBK B,101599,Grossistes,A04,4507,GR-GCDT,9/5/18,9/2018,2.6500000000E+01
SUNABEL,MBK B,102001,Grossistes,A06,4201,GR-PCDT,11/9/18,11/2018,2.2500000000E+01
SUNABEL,MBK B,104007,Grossistes,A15,4508,GR-GCDT,1/24/18,1/2018,1.5000000000E+00
SUNABEL,MBK B,102184,Grossistes,A15,4101,GR-PCDT,1/19/18,1/2018,-5.0000000000E-01
SUNABEL,MBK B,104657,Grossistes,A04,4507,GR-GCDT,6/22/17,6/2017,-5.0000000000E-01
SUNABEL,MBK B,104027,Grossistes,A15,4201,GR-PCDT,8/2/17,8/2017,6.5000000000E+00
SUNABEL,MBK B,104007,Grossistes,A15,4201,GR-PCDT,10/9/17,10/2017,8.5000000000E+00
SUNABEL,MBK B,100421,Grossistes,A15,4507,GR-GCDT,8/15/18,8/2018,5.0000000000E-01
SUNABEL,MBK B,103093,Grossistes,A15,4101,GR-PCDT,10/5/18,10/2018,5.0000000000E-01
SUNABEL,MBK B,104007,Grossistes,A15,4508,GR-GCDT,2/21/18,2/2018,-5.0000000000E-01
SUNABEL,MBK B,102714,Grossistes,A15,4201,GR-PCDT,3/8/17,3/2017,1.2500000000E+01
SUNABEL,MBK B,103093,Grossistes,A15,4101,GR-PCDT,3/18/17,3/2017,5.0000000000E-01
SUNABEL,MBK B,106029,Grossistes,A15,4201,GR-PCDT,9/13/17,9/2017,1.8500000000E+01
