Société,Site commercial,Numéro de client,Groupe de clients,Agence commerciale,Article,Groupe de marchandises,Jour calendaire,Mois/Année,Poids net
SURAC,MBK C,100007,Grossistes,A04,4203,GR-PCDT,1/23/17,1/2017,1.0500000000E+01
SURAC,MBK C,100008,Grossistes,A04,4102,GR-PCDT,6/11/18,6/2018,4.5000000000E+00
SURAC,MBK C,102163,Grossistes,A15,4102,GR-PCDT,6/22/18,6/2018,5.0000000000E-01
SURAC,MBK C,100008,Grossistes,A04,4203,GR-PCDT,7/14/17,7/2017,2.5500000000E+01
SURAC,MBK C,102058,Grossistes,A15,4504,GR-GCDT,9/20/18,9/2018,1.5000000000E+00
SURAC,MBK C,103093,Grossistes,A15,4203,GR-PCDT,4/22/17,4/2017,3.5000000000E+00
SURAC,MBK C,101016,Grossistes,A04,4102,GR-PCDT,11/1/18,11/2018,6.5000000000E+00
SURAC,MBK C,104207,Grossistes,A04,4203,GR-PCDT,12/12/18,12/2018,1.9200000000E+01
SURAC,MBK C,106029,Grossistes,A15,4102,GR-PCDT,6/14/18,6/2018,1.0500000000E+01
SURAC,MBK C,101952,Grossistes,A15,4504,GR-GCDT,6/11/18,6/2018,1.5000000000E+00
SURAC,MBK C,102703,Grossistes,A05,4203,GR-PCDT,6/13/17,6/2017,6.5000000000E+00
SURAC,MBK C,102096,Grossistes,A15,4102,GR-PCDT,5/24/17,5/2017,-5.0000000000E-01
SURAC,MBK C,100383,Grossistes,A05,4102,GR-PCDT,1/5/17,1/2017,5.0000000000E-01
SURAC,MBK C,101956,Grossistes,A15,4203,GR-PCDT,4/4/17,4/2017,3.2500000000E+01
SURAC,MBK C,100007,Grossistes,A04,4504,GR-GCDT,1/9/18,1/2018,5.0000000000E-01
SURAC,MBK C,100416,Grossistes,A15,4203,GR-PCDT,7/6/17,7/2017,8.5000000000E+00
SURAC,MBK C,101956,Grossistes,A15,4203,GR-PCDT,1/31/17,1/2017,2.2500000000E+01
SURAC,MBK C,109151,Grossistes,A05,4203,GR-PCDT,4/8/17,4/2017,2.2500000000E+01
SURAC,MBK C,109151,Grossistes,A05,4203,GR-PCDT,1/28/17,1/2017,1.3700000000E+01
SURAC,MBK C,101079,Grossistes,A04,4203,GR-PCDT,12/26/17,12/2017,1.2500000000E+01
SURAC,MBK C,101956,Grossistes,A15,4203,GR-PCDT,8/17/18,8/2018,2.4500000000E+01
SURAC,MBK C,110074,Grossistes,A15,4203,GR-PCDT,4/6/17,4/2017,1.2500000000E+01
SURAC,MBK C,110024,Grossistes,A15,4504,GR-GCDT,8/24/17,8/2017,2.5000000000E+00
SURAC,MBK C,106029,Grossistes,A15,4203,GR-PCDT,7/19/17,7/2017,2.0500000000E+01
SURAC,MBK C,101016,Grossistes,A04,4203,GR-PCDT,8/14/18,8/2018,2.2500000000E+01
SURAC,MBK C,104409,Grossistes,A05,4504,GR-GCDT,4/20/17,4/2017,8.5000000000E+00
SURAC,MBK C,106029,Grossistes,A15,4102,GR-PCDT,4/22/17,4/2017,5.5000000000E+00
SURAC,MBK C,102703,Grossistes,A05,4203,GR-PCDT,8/5/17,8/2017,2.0500000000E+01
SURAC,MBK C,100416,Grossistes,A15,4504,GR-GCDT,5/16/17,5/2017,3.5000000000E+00
SURAC,MBK C,104640,Grossistes,A05,4203,GR-PCDT,8/29/17,8/2017,8.5000000000E+00
SURAC,MBK C,110074,Grossistes,A15,4504,GR-GCDT,9/22/18,9/2018,-5.0000000000E-01
SURAC,MBK C,106029,Grossistes,A15,4102,GR-PCDT,8/3/18,8/2018,4.5000000000E+00
SURAC,MBK C,101016,Grossistes,A04,4203,GR-PCDT,5/4/18,5/2018,1.2500000000E+01
SURAC,MBK C,110119,Grossistes,A15,4504,GR-GCDT,12/10/18,12/2018,5.5000000000E+00
SURAC,MBK C,101079,Grossistes,A04,4203,GR-PCDT,7/20/18,7/2018,1.0500000000E+01
SURAC,MBK C,110024,Grossistes,A15,4504,GR-GCDT,5/20/17,5/2017,2.5000000000E+00
SURAC,MBK C,104207,Grossistes,A04,4203,GR-PCDT,5/11/17,5/2017,2.2500000000E+01
SURAC,MBK C,101952,Grossistes,A15,4102,GR-PCDT,9/5/18,9/2018,-5.0000000000E-01
SURAC,MBK C,103077,Grossistes,A15,4504,GR-GCDT,5/26/17,5/2017,9.5000000000E+00
SURAC,MBK C,103988,Grossistes,A04,4203,GR-PCDT,9/27/17,9/2017,7.5000000000E+00
SURAC,MBK C,110119,Grossistes,A15,4504,GR-GCDT,10/12/17,10/2017,3.5000000000E+00
SURAC,MBK C,100709,Grossistes,A15,4504,GR-GCDT,12/27/17,12/2017,6.5000000000E+00
SURAC,MBK C,104027,Grossistes,A15,4203,GR-PCDT,4/26/17,4/2017,2.2500000000E+01
SURAC,MBK C,103988,Grossistes,A04,4102,GR-PCDT,1/8/18,1/2018,5.0000000000E-01
SURAC,MBK C,102184,Grossistes,A15,4203,GR-PCDT,1/16/18,1/2018,1.3700000000E+01
SURAC,MBK C,106498,Grossistes,A01,4203,GR-PCDT,1/26/17,1/2017,1.6500000000E+01
SURAC,MBK C,110074,Grossistes,A15,4504,GR-GCDT,8/5/17,8/2017,-5.0000000000E-01
SURAC,MBK C,106498,Grossistes,A01,4203,GR-PCDT,6/25/18,6/2018,2.1500000000E+01
SURAC,MBK C,101956,Grossistes,A15,4203,GR-PCDT,12/15/17,12/2017,1.0500000000E+01
SURAC,MBK C,103093,Grossistes,A15,4504,GR-GCDT,5/1/18,5/2018,8.5000000000E+00
SURAC,MBK C,103093,Grossistes,A15,4504,GR-GCDT,4/20/17,4/2017,1.1500000000E+01
SURAC,MBK C,110024,Grossistes,A15,4203,GR-PCDT,4/30/18,4/2018,9.5000000000E+00
SURAC,MBK C,104207,Grossistes,A04,4102,GR-PCDT,5/17/17,5/2017,5.0000000000E-01
SURAC,MBK C,102184,Grossistes,A15,4203,GR-PCDT,12/15/18,12/2018,3.2500000000E+01
SURAC,MBK C,102184,Grossistes,A15,4203,GR-PCDT,10/13/18,10/2018,2.7000000000E+01
SURAC,MBK C,102058,Grossistes,A15,4504,GR-GCDT,7/20/17,7/2017,1.5000000000E+00
SURAC,MBK C,110119,Grossistes,A15,4203,GR-PCDT,9/13/18,9/2018,1.5000000000E+00
