Société,Site commercial,Numéro de client,Groupe de clients,Agence commerciale,Article,Groupe de marchandises,Jour calendaire,Mois/Année,Poids net
SUTA,Oulad Ayad,101675,Grossistes,A02,4500,GR-GCDT,11/20/20,202011,1.50
SUTA,Oulad Ayad,101675,Grossistes,A02,4500,GR-GCDT,11/17/20,202011,14.50
SUTA,Oulad Ayad,105983,Grossistes,A01,4500,GR-GCDT,3/20/19,201903,2.00
SUTA,Oulad Ayad,110101,Grossistes,A07,4500,GR-GCDT,6/17/20,202006,6.50
SUTA,Oulad Ayad,102633,Grossistes,A09,4205,GR-PCDT,11/30/20,202011,-1.14
SUTA,Oulad Ayad,105061,Grossistes,A09,4205,GR-PCDT,6/17/19,201906,-0.90
SUTA,Oulad Ayad,110230,Grossistes,A09,4205,GR-PCDT,6/24/19,201906,2.70
SUTA,Oulad Ayad,105683,Grossistes,A09,4500,GR-GCDT,8/2/19,201908,13.50
SUTA,Oulad Ayad,103051,Grossistes,A09,1000,Pain,10/23/20,202010,16.00
SUTA,Oulad Ayad,105061,Grossistes,A09,1000,Pain,7/23/19,201907,1.70
SUTA,Oulad Ayad,101750,Grossistes,A09,4500,GR-GCDT,6/12/20,202006,3.50
SUTA,Oulad Ayad,110230,Grossistes,A09,4500,GR-GCDT,5/3/19,201905,1.00
SUTA,Oulad Ayad,107001,Grossistes,A09,4500,GR-GCDT,10/10/19,201910,0.50
SUTA,Oulad Ayad,103051,Grossistes,A09,4205,GR-PCDT,9/5/20,202009,1.86
SUTA,Oulad Ayad,102633,Grossistes,A09,4500,GR-GCDT,8/7/20,202008,1.50
SUTA,Oulad Ayad,101675,Grossistes,A02,4205,GR-PCDT,10/18/19,201910,-0.90
SUTA,Oulad Ayad,101694,Grossistes,A02,4500,GR-GCDT,6/5/20,202006,10.50
SUTA,Oulad Ayad,103095,Grossistes,A02,4100,GR-PCDT,4/6/20,202004,-1.00
SUTA,Oulad Ayad,101011,Grossistes,A09,4205,GR-PCDT,1/22/19,201901,1.50
SUTA,Oulad Ayad,106219,Grossistes,A07,4100,GR-PCDT,3/6/20,202003,0.50
SUTA,Oulad Ayad,100994,Industriels,A07,4500,GR-GCDT,11/25/20,202011,79.50
SUTA,Oulad Ayad,101901,Grossistes,A09,4205,GR-PCDT,10/2/20,202010,11.70
SUTA,Oulad Ayad,105992,Grossistes,A09,1000,Pain,10/8/19,201910,22.10
SUTA,Oulad Ayad,101845,Grossistes,A02,4100,GR-PCDT,2/25/19,201902,-0.50
SUTA,Oulad Ayad,110259,Grossistes,A07,4100,GR-PCDT,12/10/20,202012,0.50
SUTA,Oulad Ayad,103051,Grossistes,A09,4205,GR-PCDT,6/10/19,201906,0.90
SUTA,Oulad Ayad,110237,Grossistes,A02,4500,GR-GCDT,12/30/20,202012,1.50
SUTA,Oulad Ayad,110054,Grossistes,A07,4100,GR-PCDT,9/9/19,201909,0.15
SUTA,Oulad Ayad,110019,Grossistes,A07,4100,GR-PCDT,12/13/19,201912,0.40
SUTA,Oulad Ayad,102159,Industriels,A01,4500,GR-GCDT,10/10/19,201910,23.50
SUTA,Oulad Ayad,110040,Grossistes,A09,4500,GR-GCDT,10/5/20,202010,-0.50
SUTA,Oulad Ayad,110230,Grossistes,A09,1000,Pain,8/15/19,201908,24.90
SUTA,Oulad Ayad,105941,Grossistes,A07,4100,GR-PCDT,3/28/20,202003,27.50
SUTA,Oulad Ayad,101845,Grossistes,A02,4500,GR-GCDT,11/2/19,201911,1.50
SUTA,Oulad Ayad,105683,Grossistes,A09,4500,GR-GCDT,7/27/19,201907,-0.50
SUTA,Oulad Ayad,110040,Grossistes,A09,4100,GR-PCDT,5/6/19,201905,0.10
SUTA,Oulad Ayad,103082,Grossistes,A09,4500,GR-GCDT,8/8/19,201908,0.50
SUTA,Oulad Ayad,103082,Grossistes,A09,1000,Pain,7/13/19,201907,12.95
SUTA,Oulad Ayad,110230,Grossistes,A09,1000,Pain,6/21/19,201906,4.10
SUTA,Oulad Ayad,105997,Grossistes,A01,4500,GR-GCDT,3/3/20,202003,3.50
SUTA,Oulad Ayad,110277,Grossistes,A09,4500,GR-GCDT,12/16/20,202012,2.50
SUTA,Oulad Ayad,101750,Grossistes,A09,4205,GR-PCDT,8/17/19,201908,-0.42
SUTA,Oulad Ayad,105683,Grossistes,A09,4205,GR-PCDT,12/17/19,201912,-0.30
SUTA,Oulad Ayad,110019,Grossistes,A07,1000,Pain,8/22/19,201908,4.48
SUTA,Oulad Ayad,105683,Grossistes,A09,4500,GR-GCDT,2/7/19,201902,19.50
SUTA,Oulad Ayad,103051,Grossistes,A09,4500,GR-GCDT,11/27/19,201911,-1.00
SUTA,Oulad Ayad,110054,Grossistes,A07,4205,GR-PCDT,7/8/19,201907,-0.90
SUTA,Oulad Ayad,110019,Grossistes,A07,1000,Pain,1/26/19,201901,9.70
SUTA,Oulad Ayad,103082,Grossistes,A09,1000,Pain,4/13/19,201904,8.69
SUTA,Oulad Ayad,101747,Grossistes,A09,1000,Pain,6/1/20,202006,1.70
SUTA,Oulad Ayad,105983,Grossistes,A01,1000,Pain,2/28/19,201902,17.30
SUTA,Oulad Ayad,103082,Grossistes,A09,4500,GR-GCDT,6/20/20,202006,1.50
SUTA,Oulad Ayad,103601,Grossistes,A09,1000,Pain,6/26/19,201906,12.50
SUTA,Oulad Ayad,103051,Grossistes,A09,1000,Pain,2/1/20,202002,4.10
SUTA,Oulad Ayad,101938,Grossistes,A09,4100,GR-PCDT,10/24/20,202010,-0.50
SUTA,Oulad Ayad,110261,Grossistes,A07,4500,GR-GCDT,7/9/20,202007,4.00
SUTA,Oulad Ayad,106041,Grossistes,A02,4500,GR-GCDT,11/7/20,202011,0.50
SUTA,Oulad Ayad,102157,Grossistes,A02,4500,GR-GCDT,9/2/20,202009,0.50
SUTA,Oulad Ayad,110101,Grossistes,A07,4500,GR-GCDT,11/13/19,201911,0.50
SUTA,Oulad Ayad,106219,Grossistes,A07,4205,GR-PCDT,12/23/19,201912,1.50
SUTA,Oulad Ayad,110230,Grossistes,A09,4500,GR-GCDT,2/25/20,202002,1.00
SUTA,Oulad Ayad,105940,Grossistes,A02,4205,GR-PCDT,7/9/20,202007,25.50
SUTA,Oulad Ayad,100994,Industriels,A07,4500,GR-GCDT,10/3/20,202010,79.50
SUTA,Oulad Ayad,105683,Grossistes,A09,1000,Pain,6/2/20,202006,14.50
SUTA,Oulad Ayad,100874,Grossistes,A07,4500,GR-GCDT,3/13/19,201903,9.50
SUTA,Oulad Ayad,103095,Grossistes,A02,4205,GR-PCDT,11/13/19,201911,1.50
SUTA,Oulad Ayad,105683,Grossistes,A09,4205,GR-PCDT,12/14/20,202012,0.90
SUTA,Oulad Ayad,110241,Grossistes,A09,4500,GR-GCDT,5/31/19,201905,0.50
SUTA,Oulad Ayad,101901,Grossistes,A09,1000,Pain,1/29/20,202001,4.90
SUTA,Oulad Ayad,106035,Grossistes,A07,4100,GR-PCDT,7/13/19,201907,3.50
SUTA,Oulad Ayad,101163,Grossistes,A07,4205,GR-PCDT,2/8/19,201902,2.10
SUTA,Oulad Ayad,110040,Grossistes,A09,4205,GR-PCDT,8/9/19,201908,2.10
SUTA,Oulad Ayad,101845,Grossistes,A02,4100,GR-PCDT,1/19/19,201901,-1.00
SUTA,Oulad Ayad,103051,Grossistes,A09,4100,GR-PCDT,11/22/19,201911,0.50
SUTA,Oulad Ayad,106207,Grossistes,A02,4205,GR-PCDT,9/18/19,201909,2.51
SUTA,Oulad Ayad,101901,Grossistes,A09,4205,GR-PCDT,5/23/20,202005,0.90
SUTA,Oulad Ayad,101675,Grossistes,A02,4500,GR-GCDT,9/3/20,202009,-0.50
SUTA,Oulad Ayad,105683,Grossistes,A09,1000,Pain,2/1/19,201902,9.70
SUTA,Oulad Ayad,105983,Grossistes,A01,4500,GR-GCDT,11/8/19,201911,-0.50
SUTA,Oulad Ayad,105683,Grossistes,A09,1000,Pain,7/22/20,202007,20.90
SUTA,Oulad Ayad,104335,Grossistes,A05,4500,GR-GCDT,6/5/20,202006,-0.50
SUTA,Oulad Ayad,104019,Grossistes,A07,4100,GR-PCDT,11/14/19,201911,12.50
SUTA,Oulad Ayad,110101,Grossistes,A07,4205,GR-PCDT,5/28/19,201905,-0.49
SUTA,Oulad Ayad,101845,Grossistes,A02,4500,GR-GCDT,8/3/19,201908,-1.00
SUTA,Oulad Ayad,104646,Grossistes,A02,4500,GR-GCDT,2/14/19,201902,3.30
SUTA,Oulad Ayad,101011,Grossistes,A09,1000,Pain,6/18/20,202006,6.50
SUTA,Oulad Ayad,101829,Grossistes,A02,4500,GR-GCDT,7/21/20,202007,4.50
SUTA,Oulad Ayad,101951,Grossistes,A09,4100,GR-PCDT,6/3/19,201906,-0.90
SUTA,Oulad Ayad,103062,Grossistes,A02,4205,GR-PCDT,3/1/19,201903,10.50
SUTA,Oulad Ayad,103051,Grossistes,A09,4205,GR-PCDT,1/19/19,201901,0.90
SUTA,Oulad Ayad,110019,Grossistes,A07,4100,GR-PCDT,2/12/19,201902,0.50
SUTA,Oulad Ayad,105983,Grossistes,A01,4205,GR-PCDT,12/11/19,201912,2.10
SUTA,Oulad Ayad,101557,Grossistes,A07,4500,GR-GCDT,6/30/20,202006,8.50
SUTA,Oulad Ayad,104646,Grossistes,A02,4205,GR-PCDT,7/13/19,201907,-0.30
SUTA,Oulad Ayad,104359,Grossistes,A09,4205,GR-PCDT,11/9/19,201911,2.34
SUTA,Oulad Ayad,110241,Grossistes,A09,4205,GR-PCDT,4/8/20,202004,2.70
SUTA,Oulad Ayad,105983,Grossistes,A01,4100,GR-PCDT,10/12/19,201910,-0.50
SUTA,Oulad Ayad,108093,Grossistes,A09,1000,Pain,4/6/19,201904,6.50
SUTA,Oulad Ayad,103051,Grossistes,A09,4205,GR-PCDT,3/11/19,201903,-0.54
